2,38500.0,400.0,2,1,No
3,49500.0,306.0,3,1,No
4,60500.0,665.0,3,1,No
5,61000.0,636.0,2,1,No
6,66000.0,416.0,3,1,Yes
7,66000.0,388.0,3,2,No
8,69000.0,416.0,3,1,No
9,83800.0,480.0,3,1,No
10,88500.0,550.0,3,2,Yes
11,90000.0,720.0,3,2,Yes
12,30500.0,300.0,2,1,No
13,27000.0,170.0,3,1,No
14,36000.0,288.0,3,1,No
15,37000.0,360.0,2,1,No
16,37900.0,318.0,5,2,Yes
17,40500.0,330.0,3,1,No
18,40750.0,520.0,4,1,No
19,45000.0,345.0,1,1,No
20,45000.0,398.0,6,2,No
21,48500.0,478.0,5,1,Yes
22,65900.0,451.0,4,2,No
23,37900.0,400.0,3,1,Yes
24,38000.0,393.0,4,1,No
25,42000.0,496.0,2,1,No
26,42300.0,300.0,2,1,No
27,43500.0,380.0,2,1,No
28,44000.0,496.0,2,1,Yes
29,44500.0,300.0,3,1,Yes
30,44900.0,450.0,3,1,Yes
31,45000.0,350.0,2,1,No
32,48000.0,350.0,4,1,Yes
33,49000.0,400.0,2,1,No
34,51500.0,450.0,2,1,No
35,61000.0,636.0,2,1,No
36,61000.0,450.0,2,1,Yes
37,61700.0,403.0,2,1,No
38,67000.0,517.0,3,1,Yes
39,82000.0,540.0,4,2,Yes
40,54500.0,315.0,2,2,No
41,66500.0,374.0,5,1,No
42,70000.0,452.0,3,1,Yes
43,82000.0,464.0,4,1,No
44,92000.0,858.0,5,3,No
45,38000.0,200.0,2,1,No
46,44000.0,216.0,3,1,No
47,41000.0,304.0,2,1,No
48,43000.0,309.0,3,1,No
49,48000.0,496.0,4,1,No
50,54800.0,335.0,3,1,No
